depnum,dep,Code,name,AbsExp,Exprimes,PourcentageExpIns,PourcentageExpVot,Code1,Candidat1,Voix1,Pourcentage1,Code2,Candidat2,Voix2,Pourcentage2,Code3,Candidat3,Voix3,Pourcentage3,RNExp,LREMExp,LRExp,EEVExp,FIExp,PSExp
16,Charente,16029,Bardenac,40.3,104.0,54.5,91.2,5,Rassemblement National,41.0,39.4,11,Renaissance,15.0,14.4,27,Parti socialiste - Place Publique,8.0,7.7,1.9,14.4,3.8,4.8,6.7,7.7,
16,Charente,16030,Barret,44.9,423.0,51.5,93.4,5,Rassemblement National,172.0,40.7,11,Renaissance,72.0,17.0,27,Parti socialiste - Place Publique,52.0,12.3,3.1,17.0,5.7,3.5,4.5,12.3,
16,Charente,16031,Barro,32.1,218.0,64.1,94.4,5,Rassemblement National,72.0,33.0,27,Parti socialiste - Place Publique,38.0,17.4,11,Renaissance,26.0,11.9,6.0,11.9,6.4,5.0,4.1,17.4,
16,Charente,16032,Bassac,41.1,206.0,55.4,94.1,5,Rassemblement National,73.0,35.4,11,Renaissance,27.0,13.1,27,Parti socialiste - Place Publique,23.0,11.2,7.8,13.1,7.3,1.9,3.4,11.2,
16,Charente,16034,Bazac,46.0,63.0,50.0,92.6,5,Rassemblement National,23.0,36.5,50,Résistons,11.0,17.5,3,Reconquête et CNIP,6.0,9.5,9.5,7.9,6.3,1.6,4.8,6.3,
16,Charente,16035,Beaulieu-sur-Sonnette,38.3,112.0,55.7,90.3,5,Rassemblement National,47.0,42.0,27,Parti socialiste - Place Publique,13.0,11.6,11,Renaissance,12.0,10.7,6.2,10.7,8.0,3.6,7.1,11.6,
16,Charente,16036,Bécheresse,43.2,112.0,52.6,92.6,5,Rassemblement National,29.0,25.9,11,Renaissance,19.0,17.0,27,Parti socialiste - Place Publique,15.0,13.4,5.4,17.0,6.2,8.9,5.4,13.4,
16,Charente,16204,Bellevigne,55.5,455.0,42.5,95.4,5,Rassemblement National,169.0,37.1,11,Renaissance,78.0,17.1,18,Les Républicains,61.0,13.4,2.9,17.1,13.4,1.8,3.3,6.8,
16,Charente,16037,Bellon,28.8,67.0,64.4,90.5,5,Rassemblement National,27.0,40.3,50,Résistons,9.0,13.4,11,Renaissance,8.0,11.9,6.0,11.9,3.0,6.0,4.5,9.0,
16,Charente,16038,Benest,50.6,112.0,44.6,90.3,5,Rassemblement National,33.0,29.5,11,Renaissance,23.0,20.5,27,Parti socialiste - Place Publique,22.0,19.6,2.7,20.5,4.5,1.8,4.5,19.6,
16,Charente,16039,Bernac,38.7,224.0,56.7,92.6,5,Rassemblement National,93.0,41.5,27,Parti socialiste - Place Publique,35.0,15.6,11,Renaissance,20.0,8.9,3.1,8.9,8.5,3.1,4.5,15.6,
16,Charente,16040,Berneuil,45.1,124.0,52.8,96.1,5,Rassemblement National,38.0,30.6,11,Renaissance,27.0,21.8,27,Parti socialiste - Place Publique,22.0,17.7,3.2,21.8,1.6,4.8,7.3,17.7,
16,Charente,16041,Bessac,43.3,46.0,51.1,90.2,5,Rassemblement National,16.0,34.8,11,Renaissance,8.0,17.4,3,Reconquête et CNIP,5.0,10.9,10.9,17.4,6.5,4.3,6.5,2.2,
16,Charente,16042,Bessé,38.4,63.0,56.2,91.3,5,Rassemblement National,18.0,28.6,11,Renaissance,15.0,23.8,6,Les Écologistes-EELV,8.0,12.7,11.1,23.8,3.2,12.7,0.0,12.7,
16,Charente,16044,Bioussac,41.9,99.0,55.3,95.2,5,Rassemblement National,38.0,38.4,6,Les Écologistes-EELV,12.0,12.1,11,Renaissance,12.0,12.1,3.0,12.1,8.1,12.1,5.1,10.1,
16,Charente,16045,Birac,33.8,184.0,62.8,94.8,5,Rassemblement National,80.0,43.5,11,Renaissance,24.0,13.0,27,Parti socialiste - Place Publique,21.0,11.4,4.3,13.0,8.2,2.2,3.8,11.4,
16,Charente,16047,Blanzaguet-Saint-Cybard,37.7,120.0,58.8,94.5,5,Rassemblement National,42.0,35.0,11,Renaissance,18.0,15.0,50,Résistons,12.0,10.0,3.3,15.0,8.3,5.0,1.7,9.2,
16,Charente,16048,Boisbreteau,49.0,49.0,49.0,96.1,5,Rassemblement National,28.0,57.1,27,Parti socialiste - Place Publique,5.0,10.2,11,Renaissance,4.0,8.2,4.1,8.2,2.0,4.1,2.0,10.2,
16,Charente,16082,Boisné-La Tude,40.5,309.0,57.1,96.0,5,Rassemblement National,111.0,35.9,11,Renaissance,48.0,15.5,27,Parti socialiste - Place Publique,36.0,11.7,3.2,15.5,5.2,5.2,8.1,11.7,
16,Charente,16049,Bonnes,39.4,154.0,58.3,96.2,5,Rassemblement National,66.0,42.9,11,Renaissance,21.0,13.6,27,Parti socialiste - Place Publique,16.0,10.4,3.2,13.6,8.4,3.2,4.5,10.4,
16,Charente,16050,Bonneuil,39.9,101.0,56.7,94.4,5,Rassemblement National,48.0,47.5,18,Les Républicains,18.0,17.8,11,Renaissance,11.0,10.9,8.9,10.9,17.8,0.0,0.0,10.9,
16,Charente,16053,Bors (Canton de Charente-Sud),37.9,50.0,57.5,92.6,5,Rassemblement National,10.0,20.0,11,Renaissance,7.0,14.0,50,Résistons,7.0,14.0,4.0,14.0,2.0,2.0,4.0,10.0,
16,Charente,16052,Bors (Canton de Tude-et-Lavalette),42.4,102.0,55.4,96.2,5,Rassemblement National,29.0,28.4,27,Parti socialiste - Place Publique,17.0,16.7,11,Renaissance,9.0,8.8,6.9,8.8,8.8,6.9,4.9,16.7,
16,Charente,16055,Bouëx,44.4,393.0,53.9,97.0,5,Rassemblement National,180.0,45.8,27,Parti socialiste - Place Publique,59.0,15.0,11,Renaissance,40.0,10.2,4.6,10.2,6.1,2.3,4.8,15.0,
16,Charente,16056,Bourg-Charente,46.4,339.0,51.5,96.0,5,Rassemblement National,131.0,38.6,11,Renaissance,65.0,19.2,18,Les Républicains,35.0,10.3,5.9,19.2,10.3,3.2,1.5,7.7,
16,Charente,16057,Bouteville,50.8,112.0,46.3,94.1,5,Rassemblement National,54.0,48.2,18,Les Républicains,17.0,15.2,11,Renaissance,12.0,10.7,6.2,10.7,15.2,2.7,4.5,6.2,
16,Charente,16058,Boutiers-Saint-Trojan,42.7,653.0,54.9,95.9,5,Rassemblement National,201.0,30.8,11,Renaissance,122.0,18.7,27,Parti socialiste - Place Publique,117.0,17.9,5.5,18.7,4.7,5.2,2.6,17.9,
16,Charente,16059,Brettes,47.9,58.0,49.6,95.1,5,Rassemblement National,28.0,48.3,50,Résistons,8.0,13.8,27,Parti socialiste - Place Publique,6.0,10.3,0.0,6.9,3.4,5.2,5.2,10.3,
16,Charente,16060,Bréville,46.2,188.0,52.4,97.4,5,Rassemblement National,54.0,28.7,11,Renaissance,36.0,19.1,18,Les Républicains,20.0,10.6,2.7,19.1,10.6,8.5,7.4,9.6,
16,Charente,16061,Brie,46.5,1665.0,51.3,96.0,5,Rassemblement National,614.0,36.9,27,Parti socialiste - Place Publique,260.0,15.6,11,Renaissance,239.0,14.4,2.9,14.4,5.5,3.9,6.1,15.6,
16,Charente,16062,Brie-sous-Barbezieux,40.4,55.0,55.6,93.2,5,Rassemblement National,26.0,47.3,11,Renaissance,8.0,14.5,27,Parti socialiste - Place Publique,7.0,12.7,5.5,14.5,5.5,0.0,3.6,12.7,
16,Charente,16063,Brie-sous-Chalais,30.6,98.0,66.7,96.1,5,Rassemblement National,47.0,48.0,11,Renaissance,13.0,13.3,3,Reconquête et CNIP,7.0,7.1,7.1,13.3,3.1,3.1,6.1,5.1,
16,Charente,16064,Brigueuil,39.8,428.0,56.4,93.7,5,Rassemblement National,185.0,43.2,11,Renaissance,50.0,11.7,27,Parti socialiste - Place Publique,35.0,8.2,4.9,11.7,6.5,2.6,5.6,8.2,
16,Charente,16065,Brillac,45.6,203.0,50.0,91.9,5,Rassemblement National,66.0,32.5,27,Parti socialiste - Place Publique,36.0,17.7,11,Renaissance,22.0,10.8,5.4,10.8,7.9,3.0,3.0,17.7,
16,Charente,16066,Brossac,39.9,203.0,57.0,94.9,5,Rassemblement National,77.0,37.9,11,Renaissance,29.0,14.3,27,Parti socialiste - Place Publique,29.0,14.3,5.4,14.3,2.5,2.5,3.9,14.3,
16,Charente,16067,Bunzac,40.2,198.0,56.4,94.3,5,Rassemblement National,69.0,34.8,27,Parti socialiste - Place Publique,24.0,12.1,11,Renaissance,23.0,11.6,5.1,11.6,8.1,8.6,2.0,12.1,
16,Charente,16068,Cellefrouin,46.3,214.0,52.2,97.3,5,Rassemblement National,107.0,50.0,11,Renaissance,30.0,14.0,27,Parti socialiste - Place Publique,22.0,10.3,5.6,14.0,1.4,3.3,4.2,10.3,
16,Charente,16069,Cellettes,41.0,160.0,53.3,90.4,5,Rassemblement National,71.0,44.4,4,La France insoumise,16.0,10.0,27,Parti socialiste - Place Publique,13.0,8.1,4.4,5.6,3.1,6.2,10.0,8.1,
16,Charente,16070,Chabanais,50.0,586.0,46.5,93.0,5,Rassemblement National,218.0,37.2,27,Parti socialiste - Place Publique,88.0,15.0,11,Renaissance,85.0,14.5,3.2,14.5,7.7,3.9,4.8,15.0,
16,Charente,16071,Chabrac,46.7,206.0,49.3,92.4,5,Rassemblement National,94.0,45.6,27,Parti socialiste - Place Publique,25.0,12.1,11,Renaissance,22.0,10.7,2.9,10.7,10.2,1.9,1.0,12.1,
16,Charente,16072,Chadurie,36.6,239.0,61.6,97.2,5,Rassemblement National,102.0,42.7,27,Parti socialiste - Place Publique,25.0,10.5,11,Renaissance,21.0,8.8,4.2,8.8,7.9,2.9,5.9,10.5,
16,Charente,16073,Chalais,48.2,638.0,49.8,96.2,5,Rassemblement National,274.0,42.9,27,Parti socialiste - Place Publique,96.0,15.0,11,Renaissance,85.0,13.3,3.9,13.3,4.5,2.5,3.8,15.0,
16,Charente,16074,Challignac,50.4,121.0,46.9,94.5,5,Rassemblement National,44.0,36.4,27,Parti socialiste - Place Publique,23.0,19.0,3,Reconquête et CNIP,9.0,7.4,7.4,5.8,4.1,5.8,5.0,19.0,
16,Charente,16076,Champagne-Mouton,46.2,331.0,49.8,92.5,5,Rassemblement National,124.0,37.5,27,Parti socialiste - Place Publique,61.0,18.4,11,Renaissance,43.0,13.0,3.9,13.0,3.3,3.6,4.5,18.4,
16,Charente,16075,Champagne-Vigny,34.5,107.0,62.6,95.5,5,Rassemblement National,41.0,38.3,11,Renaissance,17.0,15.9,27,Parti socialiste - Place Publique,12.0,11.2,2.8,15.9,8.4,0.9,6.5,11.2,
16,Charente,16077,Champmillon,45.0,233.0,54.3,98.7,5,Rassemblement National,95.0,40.8,11,Renaissance,35.0,15.0,27,Parti socialiste - Place Publique,32.0,13.7,2.6,15.0,7.3,4.3,4.3,13.7,
16,Charente,16078,Champniers,45.6,2346.0,52.2,96.0,5,Rassemblement National,840.0,35.8,27,Parti socialiste - Place Publique,386.0,16.5,11,Renaissance,361.0,15.4,3.8,15.4,6.5,4.5,5.0,16.5,
16,Charente,16079,Chantillac,43.9,128.0,54.0,96.2,5,Rassemblement National,37.0,28.9,11,Renaissance,15.0,11.7,27,Parti socialiste - Place Publique,15.0,11.7,8.6,11.7,7.8,2.3,7.8,11.7,
16,Charente,16083,Charmé,42.8,138.0,55.2,96.5,5,Rassemblement National,46.0,33.3,27,Parti socialiste - Place Publique,25.0,18.1,11,Renaissance,18.0,13.0,7.2,13.0,8.0,2.9,4.3,18.1,
16,Charente,16084,Charras,27.1,169.0,71.6,98.3,5,Rassemblement National,60.0,35.5,27,Parti socialiste - Place Publique,23.0,13.6,50,Résistons,15.0,8.9,3.6,6.5,4.7,5.9,7.1,13.6,
16,Charente,16085,Chasseneuil-sur-Bonnieure,46.5,1171.0,51.2,95.7,5,Rassemblement National,500.0,42.7,27,Parti socialiste - Place Publique,180.0,15.4,11,Renaissance,143.0,12.2,3.6,12.2,6.6,2.2,3.8,15.4,
16,Charente,16086,Chassenon,38.4,357.0,57.1,92.7,5,Rassemblement National,147.0,41.2,11,Renaissance,48.0,13.4,27,Parti socialiste - Place Publique,48.0,13.4,5.6,13.4,3.6,2.2,4.8,13.4,
16,Charente,16087,Chassiecq,38.2,62.0,56.4,91.2,5,Rassemblement National,27.0,43.5,27,Parti socialiste - Place Publique,10.0,16.1,50,Résistons,6.0,9.7,4.8,8.1,1.6,1.6,4.8,16.1,
16,Charente,16088,Chassors,42.8,503.0,56.3,98.4,5,Rassemblement National,225.0,44.7,27,Parti socialiste - Place Publique,67.0,13.3,11,Renaissance,53.0,10.5,4.0,10.5,7.6,3.8,3.6,13.3,
16,Charente,16089,Châteaubernard,45.8,1375.0,52.6,97.0,5,Rassemblement National,507.0,36.9,11,Renaissance,262.0,19.1,27,Parti socialiste - Place Publique,158.0,11.5,4.8,19.1,6.0,4.3,5.2,11.5,
16,Charente,16090,Châteauneuf-sur-Charente,46.4,1238.0,51.6,96.2,5,Rassemblement National,484.0,39.1,11,Renaissance,197.0,15.9,27,Parti socialiste - Place Publique,140.0,11.3,2.3,15.9,7.2,4.6,6.7,11.3,
16,Charente,16091,Châtignac,44.7,77.0,54.6,98.7,5,Rassemblement National,22.0,28.6,3,Reconquête et CNIP,11.0,14.3,27,Parti socialiste - Place Publique,11.0,14.3,14.3,3.9,6.5,6.5,11.7,14.3,
16,Charente,16093,Chazelles,44.8,682.0,52.9,95.9,5,Rassemblement National,261.0,38.3,27,Parti socialiste - Place Publique,103.0,15.1,11,Renaissance,100.0,14.7,2.6,14.7,4.3,3.5,6.6,15.1,
16,Charente,16095,Chenon,46.0,64.0,51.6,95.5,5,Rassemblement National,19.0,29.7,11,Renaissance,13.0,20.3,27,Parti socialiste - Place Publique,8.0,12.5,3.1,20.3,9.4,3.1,7.8,12.5,
16,Charente,16096,Cherves-Châtelars,43.3,147.0,50.5,89.1,5,Rassemblement National,49.0,33.3,11,Renaissance,21.0,14.3,27,Parti socialiste - Place Publique,19.0,12.9,5.4,14.3,6.1,3.4,4.8,12.9,
16,Charente,16099,Chillac,46.2,77.0,48.7,90.6,5,Rassemblement National,23.0,29.9,27,Parti socialiste - Place Publique,16.0,20.8,11,Renaissance,14.0,18.2,2.6,18.2,6.5,3.9,1.3,20.8,
16,Charente,16100,Chirac,40.0,324.0,56.1,93.4,5,Rassemblement National,111.0,34.3,27,Parti socialiste - Place Publique,49.0,15.1,33,Parti communiste français,43.0,13.3,3.4,12.3,4.6,2.8,5.9,15.1,
16,Charente,16101,Claix,44.0,397.0,52.8,94.3,5,Rassemblement National,171.0,43.1,27,Parti socialiste - Place Publique,64.0,16.1,11,Renaissance,50.0,12.6,4.0,12.6,5.5,3.8,2.8,16.1,
16,Charente,16102,Cognac,52.4,5687.0,46.3,97.2,5,Rassemblement National,1711.0,30.1,11,Renaissance,984.0,17.3,27,Parti socialiste - Place Publique,855.0,15.0,4.7,17.3,10.1,5.2,5.5,15.0,
16,Charente,16103,Combiers,31.7,65.0,64.4,94.2,5,Rassemblement National,23.0,35.4,27,Parti socialiste - Place Publique,15.0,23.1,18,Les Républicains,8.0,12.3,1.5,6.2,12.3,3.1,4.6,23.1,
16,Charente,16104,Condac,40.9,219.0,55.6,94.0,5,Rassemblement National,82.0,37.4,11,Renaissance,30.0,13.7,4,La France insoumise,21.0,9.6,5.0,13.7,7.3,3.2,9.6,8.2,
16,Charente,16105,Condéon,50.3,239.0,46.4,93.4,5,Rassemblement National,95.0,39.7,11,Renaissance,31.0,13.0,27,Parti socialiste - Place Publique,21.0,8.8,6.3,13.0,7.1,3.3,7.5,8.8,
16,Charente,16106,Confolens,46.1,966.0,50.6,93.9,5,Rassemblement National,312.0,32.3,11,Renaissance,158.0,16.4,27,Parti socialiste - Place Publique,151.0,15.6,4.5,16.4,6.8,3.5,4.3,15.6,
16,Charente,16046,Coteaux-du-Blanzacais,48.2,353.0,49.7,95.9,5,Rassemblement National,154.0,43.6,27,Parti socialiste - Place Publique,52.0,14.7,11,Renaissance,46.0,13.0,4.2,13.0,0.0,4.5,4.5,14.7,
16,Charente,16107,Coulgens,45.8,217.0,52.5,96.9,5,Rassemblement National,95.0,43.8,11,Renaissance,28.0,12.9,27,Parti socialiste - Place Publique,22.0,10.1,3.2,12.9,4.1,5.1,2.3,10.1,
16,Charente,16108,Coulonges,49.0,53.0,51.0,100.0,5,Rassemblement National,16.0,30.2,27,Parti socialiste - Place Publique,10.0,18.9,18,Les Républicains,7.0,13.2,5.7,7.5,13.2,3.8,5.7,18.9,
16,Charente,16109,Courbillac,50.3,242.0,48.7,98.0,5,Rassemblement National,109.0,45.0,11,Renaissance,26.0,10.7,27,Parti socialiste - Place Publique,25.0,10.3,4.5,10.7,6.2,4.5,4.1,10.3,
16,Charente,16110,Courcôme,44.6,322.0,50.8,91.7,5,Rassemblement National,132.0,41.0,11,Renaissance,58.0,18.0,27,Parti socialiste - Place Publique,33.0,10.2,2.8,18.0,6.5,3.7,5.3,10.2,
16,Charente,16111,Courgeac,34.7,89.0,61.8,94.7,5,Rassemblement National,26.0,29.2,11,Renaissance,18.0,20.2,27,Parti socialiste - Place Publique,9.0,10.1,5.6,20.2,4.5,3.4,3.4,10.1,
16,Charente,16112,Courlac,50.0,27.0,43.5,87.1,5,Rassemblement National,13.0,48.1,27,Parti socialiste - Place Publique,5.0,18.5,3,Reconquête et CNIP,2.0,7.4,7.4,7.4,0.0,3.7,0.0,18.5,
16,Charente,16114,Couture,43.8,57.0,50.9,90.5,11,Renaissance,19.0,33.3,5,Rassemblement National,16.0,28.1,6,Les Écologistes-EELV,5.0,8.8,0.0,33.3,3.5,8.8,1.8,7.0,
16,Charente,16116,Criteuil-la-Magdeleine,47.9,148.0,48.5,93.1,5,Rassemblement National,52.0,35.1,11,Renaissance,21.0,14.2,50,Résistons,15.0,10.1,6.1,14.2,8.1,3.4,4.1,8.8,
16,Charente,16117,Curac,26.3,52.0,68.4,92.9,5,Rassemblement National,22.0,42.3,11,Renaissance,6.0,11.5,50,Résistons,4.0,7.7,5.8,11.5,5.8,5.8,1.9,5.8,
16,Charente,16118,Deviat,41.5,50.0,53.2,90.9,5,Rassemblement National,26.0,52.0,11,Renaissance,6.0,12.0,4,La France insoumise,5.0,10.0,4.0,12.0,2.0,0.0,10.0,6.0,
16,Charente,16119,Dignac,43.1,544.0,54.1,95.1,5,Rassemblement National,201.0,36.9,11,Renaissance,84.0,15.4,27,Parti socialiste - Place Publique,74.0,13.6,2.9,15.4,4.0,2.9,7.2,13.6,
16,Charente,16120,Dirac,42.4,701.0,56.3,97.6,5,Rassemblement National,221.0,31.5,27,Parti socialiste - Place Publique,138.0,19.7,11,Renaissance,113.0,16.1,3.4,16.1,5.8,5.4,5.6,19.7,
16,Charente,16121,Douzat,46.7,177.0,51.0,95.7,5,Rassemblement National,73.0,41.2,11,Renaissance,35.0,19.8,27,Parti socialiste - Place Publique,18.0,10.2,4.0,19.8,5.6,3.4,5.1,10.2,
16,Charente,16122,Ébréon,44.0,59.0,50.9,90.8,5,Rassemblement National,19.0,32.2,11,Renaissance,15.0,25.4,18,Les Républicains,9.0,15.3,3.4,25.4,15.3,0.0,3.4,5.1,
16,Charente,16123,Échallat,38.9,238.0,58.9,96.4,5,Rassemblement National,85.0,35.7,11,Renaissance,48.0,20.2,27,Parti socialiste - Place Publique,25.0,10.5,5.9,20.2,5.9,3.8,3.4,10.5,
16,Charente,16124,Écuras,51.7,243.0,45.7,94.6,5,Rassemblement National,90.0,37.0,27,Parti socialiste - Place Publique,35.0,14.4,11,Renaissance,25.0,10.3,4.5,10.3,4.5,1.6,9.1,14.4,
16,Charente,16125,Édon,33.0,127.0,64.5,96.2,5,Rassemblement National,45.0,35.4,27,Parti socialiste - Place Publique,20.0,15.7,11,Renaissance,13.0,10.2,5.5,10.2,9.4,4.7,3.1,15.7,
16,Charente,16127,Empuré,43.5,44.0,51.8,91.7,5,Rassemblement National,14.0,31.8,50,Résistons,6.0,13.6,33,Parti communiste français,5.0,11.4,2.3,9.1,6.8,6.8,6.8,6.8,
16,Charente,16128,Épenède,40.7,75.0,53.6,90.4,5,Rassemblement National,22.0,29.3,27,Parti socialiste - Place Publique,13.0,17.3,4,La France insoumise,10.0,13.3,4.0,10.7,4.0,5.3,13.3,17.3,
16,Charente,16131,Esse,36.5,203.0,53.7,84.6,5,Rassemblement National,71.0,35.0,11,Renaissance,37.0,18.2,27,Parti socialiste - Place Publique,29.0,14.3,3.0,18.2,3.9,5.4,3.4,14.3,
16,Charente,16132,Étagnac,47.0,376.0,49.6,93.5,5,Rassemblement National,168.0,44.7,11,Renaissance,47.0,12.5,27,Parti socialiste - Place Publique,45.0,12.0,2.4,12.5,5.9,2.7,2.7,12.0,
16,Charente,16133,Étriac,50.9,75.0,47.2,96.2,5,Rassemblement National,26.0,34.7,11,Renaissance,12.0,16.0,27,Parti socialiste - Place Publique,10.0,13.3,2.7,16.0,9.3,12.0,0.0,13.3,
16,Charente,16134,Exideuil-sur-Vienne,46.3,379.0,48.8,90.9,5,Rassemblement National,167.0,44.1,27,Parti socialiste - Place Publique,57.0,15.0,11,Renaissance,35.0,9.2,2.6,9.2,3.2,2.1,5.3,15.0,
16,Charente,16135,Eymouthiers,41.8,146.0,55.5,95.4,5,Rassemblement National,50.0,34.2,27,Parti socialiste - Place Publique,27.0,18.5,11,Renaissance,19.0,13.0,2.1,13.0,2.7,5.5,5.5,18.5,
16,Charente,16137,Feuillade,31.7,149.0,64.8,94.9,5,Rassemblement National,44.0,29.5,11,Renaissance,28.0,18.8,50,Résistons,19.0,12.8,8.1,18.8,8.7,4.0,2.0,11.4,
16,Charente,16138,Fléac,45.1,1593.0,53.2,96.9,5,Rassemblement National,531.0,33.3,11,Renaissance,283.0,17.8,27,Parti socialiste - Place Publique,272.0,17.1,4.1,17.8,5.8,4.5,4.6,17.1,
16,Charente,16139,Fleurac,36.9,90.0,60.4,95.7,5,Rassemblement National,27.0,30.0,11,Renaissance,21.0,23.3,27,Parti socialiste - Place Publique,13.0,14.4,4.4,23.3,3.3,5.6,0.0,14.4,
16,Charente,16140,Fontclaireau,,,,,50,Changement citoyen,,,50,Mouvement constituant populaire,,,3,Reconquête et CNIP,,,,,,,,,
16,Charente,16141,Fontenille,41.0,157.0,57.5,97.5,5,Rassemblement National,60.0,38.2,11,Renaissance,24.0,15.3,27,Parti socialiste - Place Publique,24.0,15.3,2.5,15.3,3.8,8.9,3.8,15.3,
16,Charente,16143,Fouquebrune,34.5,331.0,63.5,97.1,5,Rassemblement National,123.0,37.2,27,Parti socialiste - Place Publique,45.0,13.6,50,Résistons,31.0,9.4,6.3,8.8,6.3,3.6,3.3,13.6,
